horizon,threshold,accuracy,f1_macro,f1_weighted,precision_0,recall_0,precision_2,recall_2
3,0.01,0.49103860294117646,0.38034941210862794,0.5417745256528431,0.17726887192536048,0.37122557726465366,0.19555143651529194,0.34590163934426227
3,0.012,0.5013786764705882,0.36946080133674153,0.5676365133265954,0.16495726495726495,0.42139737991266374,0.15106580166821132,0.3497854077253219
3,0.014,0.5328584558823529,0.36833259338267804,0.6087676977473433,0.14951627088830255,0.4696132596685083,0.13016528925619836,0.3490304709141274
3,0.016,0.5602022058823529,0.3489014803086204,0.644040614296707,0.10835629017447199,0.4041095890410959,0.1070110701107011,0.3020833333333333
3,0.018,0.5790441176470589,0.3336884471016918,0.6692981728035452,0.10114503816793893,0.43089430894308944,0.06720430107526881,0.2242152466367713
3,0.02,0.6213235294117647,0.33870249305292094,0.7118040967335041,0.09234234234234234,0.4019607843137255,0.06111111111111111,0.25287356321839083
3,0.022,0.6626838235294118,0.33984843349002253,0.7499323497430689,0.0795593635250918,0.38235294117647056,0.055,0.24087591240875914
3,0.024,0.6764705882352942,0.32677944308293916,0.7680654118274056,0.06675567423230974,0.3448275862068966,0.034653465346534656,0.2
3,0.026,0.7244944852941176,0.3345856846277841,0.8065655265276268,0.057971014492753624,0.34782608695652173,0.03711790393013101,0.18888888888888888
3,0.028,0.73828125,0.32815822160748054,0.8222538491272724,0.03880597014925373,0.2826086956521739,0.03764705882352941,0.2222222222222222
3,0.03,0.7651654411764706,0.33124045233349847,0.8424299532594166,0.04552590266875981,0.3493975903614458,0.02601156069364162,0.15
3,0.032,0.7892922794117647,0.31988061565699283,0.8597170349289617,0.0425531914893617,0.3561643835616438,0.0,0.0
3,0.034,0.8184742647058824,0.3331873819093574,0.8815276679387476,0.03717472118959108,0.3448275862068966,0.018867924528301886,0.0975609756097561
3,0.036,0.8563878676470589,0.34121784638593117,0.9068655530144882,0.02493765586034913,0.20408163265306123,0.03296703296703297,0.1875
3,0.038,0.8841911764705882,0.33918460149959745,0.924614033632491,0.030864197530864196,0.23255813953488372,0.014388489208633094,0.07692307692307693
3,0.04,0.9046415441176471,0.3377229217791983,0.9385592385254664,0.028688524590163935,0.1891891891891892,0.007352941176470588,0.05
4,0.01,0.46622242647058826,0.38918494921430175,0.5046785875404034,0.2074468085106383,0.3979591836734694,0.2329390354868062,0.3359580052493438
4,0.012,0.48874080882352944,0.3778109900626696,0.5397276365717459,0.17860082304526748,0.38543516873889877,0.19020172910662825,0.3333333333333333
4,0.014,0.5068933823529411,0.36900296816343786,0.5703588045252482,0.1583710407239819,0.3763440860215054,0.15671641791044777,0.35294117647058826
4,0.016,0.5236672794117647,0.3596523842281696,0.5984008895949915,0.14285714285714285,0.42744063324538256,0.12628336755646818,0.31865284974093266
4,0.018,0.5335477941176471,0.33931568483740815,0.6189602121192752,0.1126885536823425,0.3931888544891641,0.09843400447427293,0.292358803986711
4,0.02,0.5714613970588235,0.33691645379771235,0.6594505267078614,0.10198019801980197,0.3759124087591241,0.07862407862407862,0.26337448559670784
4,0.022,0.5928308823529411,0.3331657638122088,0.6841801748554643,0.09600862998921252,0.37872340425531914,0.0625782227784731,0.24390243902439024
4,0.024,0.6001838235294118,0.3130558470807813,0.6988856895455221,0.07175925925925926,0.3147208121827411,0.04125,0.19760479041916168
4,0.026,0.62890625,0.31473530554412904,0.7260567107907411,0.05620608899297424,0.2823529411764706,0.045588235294117645,0.22794117647058823
4,0.028,0.6769301470588235,0.3133551012243465,0.7678125522634613,0.04928664072632944,0.2585034013605442,0.02737226277372263,0.13761467889908258
4,0.03,0.6879595588235294,0.3055057765620092,0.7817977799055037,0.04234972677595628,0.2627118644067797,0.014760147601476014,0.0898876404494382
4,0.032,0.7189797794117647,0.3141705721040839,0.806898399289958,0.042105263157894736,0.32989690721649484,0.017587939698492462,0.08974358974358974
4,0.034,0.7578125,0.3195455558345172,0.8359715373163068,0.041791044776119404,0.32941176470588235,0.01238390092879257,0.0625
4,0.036,0.7821691176470589,0.3231863365063399,0.8550380982679933,0.03582554517133956,0.3108108108108108,0.015810276679841896,0.07692307692307693
4,0.038,0.8074448529411765,0.3277699427969422,0.8724629778009974,0.03770197486535009,0.3,0.013100436681222707,0.07142857142857142
4,0.04,0.8272058823529411,0.32976807232614114,0.8870938191638884,0.02880658436213992,0.22580645161290322,0.018691588785046728,0.125
5,0.01,0.4499080882352941,0.39267399670748676,0.48065134639344165,0.22727272727272727,0.39304123711340205,0.2570694087403599,0.3592814371257485
5,0.012,0.46369485294117646,0.38576563458333596,0.5047096295335844,0.21209740769835037,0.4166666666666667,0.21565217391304348,0.352773826458037
5,0.014,0.48161764705882354,0.3770370437868693,0.5350451159510414,0.178752107925801,0.381294964028777,0.18930762489044697,0.3769633507853403
5,0.016,0.49609375,0.36373912670341624,0.5602452885927383,0.1572379367720466,0.3987341772151899,0.153921568627451,0.3398268398268398
5,0.018,0.5344669117647058,0.35388954908462916,0.6039750018697556,0.13835198372329605,0.3309002433090024,0.11698880976602238,0.2987012987012987
5,0.02,0.5480238970588235,0.34828423223629823,0.6242408167898071,0.12877263581488935,0.35359116022099446,0.09967141292442497,0.29073482428115016
5,0.022,0.5597426470588235,0.3325758216658961,0.6444667663385039,0.10071942446043165,0.3234323432343234,0.08092485549132948,0.2641509433962264
5,0.024,0.5687040441176471,0.32799636022408757,0.6615168374549467,0.09013282732447818,0.36398467432950193,0.07170294494238157,0.2545454545454545
