horizon,threshold,accuracy,f1_macro,f1_weighted,precision_0,recall_0,precision_2,recall_2
3,0.01,0.48549234635595157,0.3750001779711379,0.5367085458038149,0.1757779646761985,0.36925795053003535,0.18772893772893773,0.3333333333333333
3,0.012,0.4946310258167695,0.36432664063079967,0.5626029182532225,0.1467522052927025,0.39869281045751637,0.16187739463601533,0.35881104033970274
3,0.014,0.5069682430888737,0.34792169317267274,0.5875594584282009,0.11662726556343578,0.4088397790055249,0.13606911447084233,0.34710743801652894
3,0.016,0.5339273474982865,0.33986106020954293,0.6234826378754319,0.10147299509001637,0.4246575342465753,0.10885167464114832,0.3137931034482759
3,0.018,0.5526616403929632,0.33411455095670445,0.6485442550092921,0.09403862300587741,0.45528455284552843,0.08857509627727857,0.30666666666666664
3,0.02,0.5967557687914097,0.3309236170157362,0.6939059104254278,0.07868525896414343,0.3872549019607843,0.07046070460704607,0.29545454545454547
3,0.022,0.6182316655243317,0.3271482788885672,0.7184983935895315,0.06666666666666667,0.38823529411764707,0.06231003039513678,0.2971014492753623
3,0.024,0.645419236920265,0.3185640562122995,0.7460132642453042,0.061555075593952485,0.3931034482758621,0.03728813559322034,0.20754716981132076
3,0.026,0.6970527758738863,0.333718594356124,0.7884977819898854,0.05392156862745098,0.3826086956521739,0.049689440993788817,0.26373626373626374
3,0.028,0.7059629883481837,0.32155040835922494,0.8005829755052596,0.03787878787878788,0.32608695652173914,0.0391304347826087,0.25
3,0.03,0.7349782956362806,0.3264989370522607,0.8226783151071131,0.040268456375838924,0.3614457831325301,0.034031413612565446,0.21666666666666667
3,0.032,0.7518848526387937,0.32445457247764314,0.8362753937730255,0.043356643356643354,0.4246575342465753,0.020588235294117647,0.13725490196078433
3,0.034,0.7948366461046379,0.33674109579898376,0.8675039684621256,0.04133545310015898,0.4482758620689655,0.028225806451612902,0.17073170731707318
3,0.036,0.8309344299748687,0.34254426505651225,0.8919945809819793,0.03411513859275053,0.32653061224489793,0.03292181069958848,0.25
3,0.038,0.8551519305460361,0.3432352009780632,0.9085610842221798,0.02891566265060241,0.27906976744186046,0.03125,0.23076923076923078
3,0.04,0.8700022846698652,0.3305810787172765,0.9193001109934206,0.021220159151193633,0.21621621621621623,0.012422360248447204,0.1
4,0.01,0.4599040438656614,0.3802199386683382,0.4975852728662189,0.19233550253073028,0.3855072463768116,0.23757455268389663,0.3103896103896104
4,0.012,0.47978067169294036,0.36690421525635974,0.5319220429915316,0.16369529983792544,0.3568904593639576,0.18514946962391515,0.3194675540765391
4,0.014,0.49645876170893305,0.35895174828740983,0.5608796753184552,0.14563928873835733,0.36909871244635195,0.1544477028347996,0.32916666666666666
4,0.016,0.5195339273474983,0.36182751554570136,0.5940982157516009,0.13140495867768595,0.41952506596306066,0.14743589743589744,0.35475578406169667
4,0.018,0.5252456020105095,0.3402896620346508,0.6116958808807611,0.10588235294117647,0.39009287925696595,0.11272321428571429,0.33223684210526316
4,0.02,0.5419236920265021,0.3309346404397578,0.6349179090957429,0.10289115646258504,0.4416058394160584,0.08131067961165049,0.27235772357723576
4,0.022,0.5627141877998629,0.3264796035824981,0.6601435241271778,0.09049360146252285,0.42127659574468085,0.06973848069738481,0.27053140096618356
4,0.024,0.5803061457619374,0.31376503202907896,0.6819579340960297,0.06679764243614932,0.34517766497461927,0.05789473684210526,0.2619047619047619
4,0.026,0.5933287639936029,0.3130650007683868,0.6989149023602961,0.058358061325420374,0.34705882352941175,0.05647382920110193,0.29927007299270075
4,0.028,0.64793237377199,0.315756215624217,0.74664251826269,0.05292792792792793,0.3197278911564626,0.04054054054054054,0.22018348623853212
4,0.03,0.6625542609092986,0.32052551664343015,0.7629634694519928,0.047619047619047616,0.3474576271186441,0.04679376083188908,0.30337078651685395
4,0.032,0.6860863605209048,0.3172751086717792,0.78411319017241,0.043478260869565216,0.3917525773195876,0.034934497816593885,0.20512820512820512
4,0.034,0.7148732008224812,0.3171218952458713,0.8075853867815168,0.04625,0.43529411764705883,0.0196078431372549,0.125
4,0.036,0.7548549234635595,0.3163121814152237,0.837688066953632,0.03359173126614987,0.35135135135135137,0.016,0.07692307692307693
4,0.038,0.7781585560886451,0.32329171911801113,0.8541674111093356,0.03840245775729647,0.35714285714285715,0.014598540145985401,0.09523809523809523
4,0.04,0.8012337217272104,0.3300176411169718,0.8718947296237481,0.03595890410958904,0.3387096774193548,0.01984126984126984,0.15625
5,0.01,0.44299748686314827,0.38474650929432935,0.47320447847498187,0.2198120028922632,0.38974358974358975,0.25334522747546834,0.33649289099526064
5,0.012,0.45145076536440487,0.3686498468140364,0.49455357624818214,0.1796078431372549,0.35176651305683565,0.2136006974716652,0.34458509142053445
5,0.014,0.4631025816769477,0.3639083161738279,0.5178128781037256,0.15408560311284047,0.3548387096774194,0.1987353206865402,0.3799654576856649
5,0.016,0.4731551290838474,0.34983289790892313,0.5394451505809326,0.1462882096069869,0.4222689075630252,0.15047021943573669,0.3090128755364807
5,0.018,0.5147361206305688,0.3497188404174619,0.5874460588446686,0.12489307100085544,0.35436893203883496,0.132829373650108,0.3170103092783505
5,0.02,0.5327850125656842,0.3406554557370258,0.6118237686138605,0.11428571428571428,0.3526170798898072,0.10599078341013825,0.2911392405063291
5,0.022,0.5318711446196025,0.328886278365679,0.6219072230072965,0.10064043915827996,0.36303630363036304,0.08775731310942579,0.30337078651685395
5,0.024,0.5359835503769705,0.32321954932687597,0.6340018773755663,0.08269394714407502,0.3716475095785441,0.08757396449704143,0.3333333333333333
5,0.026,0.5579163810829335,0.32050609116915146,0.6599283689742723,0.07657247037374658,0.3783783783783784,0.072992700729927,0.32085561497326204
5,0.028,0.5844185515193054,0.31845143791737734,0.6867565843497772,0.06666666666666667,0.36787564766839376,0.06424581005586592,0.2857142857142857
5,0.03,0.6104637879826366,0.31079632413523206,0.712409280263113,0.0539714867617108,0.3271604938271605,0.04900459418070444,0.2222222222222222
5,0.032,0.6342243545807631,0.3141658379299982,0.7356789196602533,0.05292171995589857,0.34285714285714286,0.04430379746835443,0.24778761061946902
5,0.034,0.693397304089559,0.32267821334628166,0.7815969088774001,0.042839657282741736,0.28225806451612906,0.045454545454545456,0.20833333333333334
5,0.036,0.7214987434315742,0.3321975633564934,0.8074795119179292,0.044058744993324434,0.3173076923076923,0.047505938242280284,0.2631578947368421
5,0.038,0.7448023760566598,0.32381339679975973,0.8268443979433376,0.03225806451612903,0.25555555555555554,0.03529411764705882,0.19672131147540983
5,0.04,0.7614804660726525,0.321356889115819,0.8404817158483456,0.03225806451612903,0.2727272727272727,0.024096385542168676,0.14545454545454545
6,0.01,0.4146675805346127,0.37358065743768837,0.438874938869811,0.22485632183908047,0.36997635933806144,0.26422764227642276,0.3410283315844701
6,0.012,0.43043180260452363,0.37573600802338497,0.4670852432507669,0.20204081632653062,0.4062927496580027,0.2446167097329888,0.35813366960907944
6,0.014,0.4594471098926205,0.37236153841405994,0.5039653534150673,0.18645357686453576,0.38704581358609796,0.20705663881151345,0.3373676248108926
6,0.016,0.4656157185286726,0.3606694915896442,0.5230231603496868,0.16288492706645058,0.37153419593345655,0.17421602787456447,0.36363636363636365
6,0.018,0.48640621430203335,0.3510555370645924,0.5521018622282892,0.13920922570016475,0.3618843683083512,0.15004935834155972,0.33043478260869563
6,0.02,0.5021704363719443,0.3465237014521627,0.5754307475512609,0.1311740890688259,0.39416058394160586,0.12837108953613807,0.30357142857142855
6,0.022,0.5119945167923236,0.33197755977657784,0.5950334624827869,0.1113881961762261,0.3850574712643678,0.1019036954087346,0.2826086956521739
6,0.024,0.5222755311857437,0.32140475613284863,0.6116601787659497,0.09239130434782608,0.33774834437086093,0.08804347826086957,0.2852112676056338
6,0.026,0.5314142106465616,0.3129672821160716,0.6305803371577168,0.07818181818181819,0.3333333333333333,0.07378854625550661,0.2875536480686695
6,0.028,0.5510623714873201,0.3124959605271357,0.6520800882063884,0.07608695652173914,0.35443037974683544,0.06273062730627306,0.2602040816326531
6,0.03,0.5741375371258853,0.307353398004528,0.6770727143872506,0.06710158434296365,0.34951456310679613,0.048209366391184574,0.20958083832335328
